Resource_ID,Title,Platform,Skill,Level,Format,Type,Cost,URL,Duration,Enrollments,Rating,Rating_Count,Release_Date,Last_Updated,Instructor,Has_Certificate,Has_Projects,Has_Community,Difficulty_Score,Completion_Rate,Prerequisites,Related_Skills
RES_0018,Blockchain Specialization,Coursera,Blockchain,Intermediate,Text-based,Freemium,7.0,https://www.coursera.com/courses/blockchain-specialization,22 weeks,41839,3.9,7551,2023-11-17,2025-04-16,Coursera,True,True,True,6,46,Digital Marketing,"JavaScript, UI/UX Design, Cybersecurity, Game Development"
RES_0019,UI/UX Design Specialization,Coursera,UI/UX Design,Advanced,Interactive,Freemium,78.58,https://www.coursera.com/courses/ui/ux-design-specialization,20 weeks,31473,3.6,7779,2023-02-28,2024-05-26,Robert Edwards,True,False,False,7,66,"Mobile Development, Web Development, React","SQL, Cloud Computing"
RES_0020,Data Analysis Specialization,Coursera,Data Analysis,Intermediate,Project-based,Free,0.0,https://www.coursera.com/courses/data-analysis-specialization,15 months,42272,4.2,4274,2024-07-18,2024-08-19,Kimberly Mcdowell,True,True,False,4,84,JavaScript,"Game Development, React, Machine Learning"
RES_0021,Cloud Computing Masterclass,FreeCodeCamp,Cloud Computing,All Levels,Tutorial Series,Subscription,48.25,https://www.freecodecamp.com/courses/cloud-computing-masterclass,29 months,8370,3.3,1590,2023-03-31,2023-04-24,FreeCodeCamp,True,True,False,4,65,"Artificial Intelligence, React, DevOps","Web Development, UI/UX Design"
RES_0022,Mobile Development Masterclass,LinkedIn Learning,Mobile Development,Beginner,Interactive,Paid,53.94,https://www.linkedinlearning.com/courses/mobile-development-masterclass,23 days,3605,3.6,663,2025-04-11,2025-05-07,Samuel Hatfield,True,True,True,1,78,None,"Python Programming, Data Science, UI/UX Design, Cybersecurity"
RES_0023,Game Development Masterclass,Skillshare,Game Development,Intermediate,Project-based,Paid,61.86,https://www.skillshare.com/courses/game-development-masterclass,16 hours,6471,3.7,812,2023-10-02,2023-10-07,Manuel Thomas,True,True,True,4,80,"Python Programming, Web Development, Digital Marketing","Project Management, JavaScript"
RES_0024,DevOps Specialization,Coursera,DevOps,All Levels,Text-based,Paid,96.39,https://www.coursera.com/courses/devops-specialization,11 months,19235,3.9,5585,2023-04-10,2024-12-06,Coursera,True,False,True,4,38,"Data Analysis, Python Programming, React",Cloud Computing
RES_0025,Learn Cloud Computing - Full Course,YouTube,Cloud Computing,All Levels,Tutorial Series,Free,0.0,https://www.youtube.com/courses/learn-cloud-computing---full-course,19 days,31476,4.6,8305,2024-03-14,2024-08-09,Juan Thompson,False,False,True,5,43,"Python Programming, UI/UX Design, Cybersecurity","SQL, Web Development, React, Machine Learning"
RES_0026,UI/UX Design Masterclass,FutureLearn,UI/UX Design,Beginner,Bootcamp,Free,0.0,https://www.futurelearn.com/courses/ui/ux-design-masterclass,12 months,6171,3.4,1152,2025-04-01,2025-04-14,Shelby Martin,True,True,True,3,88,None,"Digital Marketing, JavaScript"
RES_0027,Blockchain Masterclass,FutureLearn,Blockchain,Advanced,Bootcamp,Freemium,46.49,https://www.futurelearn.com/courses/blockchain-masterclass,27 weeks,5380,4.0,1151,2024-04-05,2024-06-22,FutureLearn,True,True,False,10,73,Artificial Intelligence,"JavaScript, SQL"
RES_0028,DevOps Masterclass,LinkedIn Learning,DevOps,Advanced,Text-based,Subscription,34.45,https://www.linkedinlearning.com/courses/devops-masterclass,17 days,1502,4.2,364,2024-04-13,2024-08-18,Casey Kemp,True,True,True,10,32,UI/UX Design,"Cybersecurity, React"
RES_0029,Data Science Masterclass,Pluralsight,Data Science,All Levels,Bootcamp,Subscription,29.89,https://www.pluralsight.com/courses/data-science-masterclass,24 weeks,5864,3.1,1457,2023-02-03,2024-11-17,Diane Bryant,True,False,True,8,53,SQL,"DevOps, Blockchain, UI/UX Design, Machine Learning"
RES_0030,Learn UI/UX Design - Full Course,YouTube,UI/UX Design,Intermediate,Text-based,Paid,67.43,https://www.youtube.com/courses/learn-ui/ux-design---full-course,23 days,18977,4.2,3760,2025-05-19,2025-08-15,Jennifer Jenkins,False,True,False,4,66,"Artificial Intelligence, Project Management","JavaScript, Data Analysis, DevOps"
RES_0031,Machine Learning Masterclass,FreeCodeCamp,Machine Learning,Beginner,Project-based,Freemium,7.41,https://www.freecodecamp.com/courses/machine-learning-masterclass,21 hours,2585,3.3,473,2024-10-19,2024-11-06,FreeCodeCamp,True,True,False,2,78,None,"Project Management, UI/UX Design, Digital Marketing, UI/UX Design"
RES_0032,Data Analysis Masterclass,Codecademy,Data Analysis,Beginner,Interactive,Paid,60.28,https://www.codecademy.com/courses/data-analysis-masterclass,3 days,4029,3.1,637,2024-08-30,2024-11-12,Deanna Lucas,True,True,False,2,66,None,"Project Management, Web Development, React"
RES_0033,SQL Masterclass,Pluralsight,SQL,All Levels,Video Course,Paid,133.05,https://www.pluralsight.com/courses/sql-masterclass,30 weeks,2430,4.9,383,2025-03-27,2025-08-06,Emily Foster,True,False,False,3,89,"UI/UX Design, Cybersecurity, DevOps","Project Management, Web Development, Data Analysis, Digital Marketing"
RES_0034,Mobile Development Masterclass,FutureLearn,Mobile Development,Advanced,Video Course,Free,0.0,https://www.futurelearn.com/courses/mobile-development-masterclass,8 hours,4515,4.9,980,2025-05-30,2025-07-30,Kaylee Pearson,False,False,True,10,41,"Data Science, Digital Marketing","Machine Learning, JavaScript"
RES_0035,Digital Marketing Masterclass,LinkedIn Learning,Digital Marketing,All Levels,Text-based,Freemium,81.36,https://www.linkedinlearning.com/courses/digital-marketing-masterclass,18 hours,7551,4.6,2000,2025-02-21,2025-06-02,Mrs. Leslie Mccullough,True,False,False,3,89,"Data Analysis, SQL","Artificial Intelligence, Project Management"
RES_0036,Learn DevOps - Full Course,YouTube,DevOps,Intermediate,Text-based,Freemium,88.08,https://www.youtube.com/courses/learn-devops---full-course,16 hours,2891,3.6,862,2024-04-17,2024-08-23,Vincent Morales,True,True,True,4,89,Cloud Computing,"UI/UX Design, Blockchain, Digital Marketing"
RES_0037,Artificial Intelligence Masterclass,FreeCodeCamp,Artificial Intelligence,Intermediate,Project-based,Paid,82.88,https://www.freecodecamp.com/courses/artificial-intelligence-masterclass,30 days,1243,3.2,304,2024-02-02,2024-06-23,Steve Hansen,False,True,True,7,49,Game Development,Mobile Development
RES_0038,Project Management Masterclass,Skillshare,Project Management,Advanced,Interactive,Paid,118.64,https://www.skillshare.com/courses/project-management-masterclass,8 months,815,4.4,215,2023-11-08,2024-04-24,Skillshare,False,True,False,8,93,Cloud Computing,"Machine Learning, Machine Learning"
RES_0039,Project Management Masterclass,Khan Academy,Project Management,Beginner,Tutorial Series,Paid,87.9,https://www.khanacademy.com/courses/project-management-masterclass,21 days,1325,3.9,358,2023-01-02,2023-06-13,Khan Academy,True,True,False,4,70,None,"Game Development, Data Analysis, Web Development, React"
RES_0040,UI/UX Design Masterclass,Udacity,UI/UX Design,Intermediate,Tutorial Series,Free,0.0,https://www.udacity.com/courses/ui/ux-design-masterclass,14 hours,1746,3.2,277,2023-02-24,2025-03-04,Nicholas Pearson,False,True,False,6,85,React,"JavaScript, JavaScript, JavaScript, Web Development"
RES_0041,Cybersecurity Masterclass,Codecademy,Cybersecurity,Intermediate,Project-based,Paid,54.12,https://www.codecademy.com/courses/cybersecurity-masterclass,21 weeks,7629,4.0,875,2024-03-16,2025-08-12,Codecademy,True,True,False,6,68,"Digital Marketing, DevOps, Project Management","SQL, Artificial Intelligence"
RES_0042,The Complete React Bootcamp,Udemy,React,All Levels,Bootcamp,Subscription,35.12,https://www.udemy.com/courses/the-complete-react-bootcamp,23 weeks,2437,3.1,687,2023-06-02,2024-11-13,Robert Cox,False,False,False,8,93,Data Science,"SQL, DevOps"
RES_0043,Cloud Computing Masterclass,Udacity,Cloud Computing,Beginner,Tutorial Series,Free,0.0,https://www.udacity.com/courses/cloud-computing-masterclass,10 months,646,4.8,81,2023-08-04,2025-04-09,Kathy Cruz,True,False,True,3,94,None,"JavaScript, DevOps, Artificial Intelligence"
RES_0044,Mobile Development Masterclass,Pluralsight,Mobile Development,Beginner,Project-based,Free,0.0,https://www.pluralsight.com/courses/mobile-development-masterclass,5 days,6611,3.5,1550,2023-08-02,2025-05-21,Pluralsight,True,True,True,3,78,None,"Machine Learning, React, Artificial Intelligence"
RES_0045,Game Development Specialization,Coursera,Game Development,Advanced,Bootcamp,Paid,133.05,https://www.coursera.com/courses/game-development-specialization,21 months,46945,4.3,5784,2023-12-11,2024-06-29,Miranda Nash,True,True,False,8,47,"Project Management, Data Science","Cloud Computing, Digital Marketing, Machine Learning, Artificial Intelligence"
RES_0046,Digital Marketing Masterclass,Codecademy,Digital Marketing,Advanced,Video Course,Subscription,22.6,https://www.codecademy.com/courses/digital-marketing-masterclass,15 days,6042,3.6,937,2025-01-29,2025-02-27,Anthony Hammond,False,True,True,7,88,SQL,Data Analysis
RES_0047,React Masterclass,LinkedIn Learning,React,Intermediate,Bootcamp,Paid,23.04,https://www.linkedinlearning.com/courses/react-masterclass,25 days,9707,4.0,976,2024-06-04,2024-07-01,LinkedIn Learning,True,True,False,5,46,"DevOps, JavaScript, Machine Learning",Cloud Computing
RES_0048,Data Science Specialization,Coursera,Data Science,Intermediate,Bootcamp,Subscription,15.55,https://www.coursera.com/courses/data-science-specialization,9 hours,9307,4.1,2035,2023-04-11,2024-03-01,Kelly Cole,True,True,True,7,94,Data Analysis,"Project Management, Python Programming"
RES_0049,Cybersecurity Masterclass,FreeCodeCamp,Cybersecurity,All Levels,Tutorial Series,Free,0.0,https://www.freecodecamp.com/courses/cybersecurity-masterclass,16 months,1304,3.4,273,2025-03-08,2025-05-31,Stephanie Cook,True,True,False,5,78,"Blockchain, UI/UX Design, Project Management","Machine Learning, Machine Learning, Game Development, SQL"
RES_0050,Project Management Masterclass,Skillshare,Project Management,Intermediate,Project-based,Subscription,43.96,https://www.skillshare.com/courses/project-management-masterclass,13 months,1657,4.9,322,2023-11-19,2024-06-10,Marc Johnson,True,False,False,4,40,Digital Marketing,Data Science
RES_0051,Game Development Professional Certificate,edX,Game Development,Beginner,Bootcamp,Subscription,38.45,https://www.edx.com/courses/game-development-professional-certificate,14 weeks,7029,4.6,1626,2025-05-07,2025-07-16,Michael Ward,True,True,True,2,43,None,"Data Science, Machine Learning"
RES_0052,React Masterclass,Pluralsight,React,All Levels,Bootcamp,Free,0.0,https://www.pluralsight.com/courses/react-masterclass,20 weeks,574,4.9,157,2024-08-16,2025-04-04,Pluralsight,True,True,True,7,81,Cloud Computing,Web Development
RES_0053,Blockchain Masterclass,FutureLearn,Blockchain,Intermediate,Project-based,Freemium,45.36,https://www.futurelearn.com/courses/blockchain-masterclass,6 weeks,5205,4.8,572,2023-10-26,2024-01-18,Roger Larson,False,True,False,4,64,"Digital Marketing, Artificial Intelligence","DevOps, SQL"
RES_0054,The Complete Data Science Bootcamp,Udemy,Data Science,All Levels,Video Course,Subscription,38.74,https://www.udemy.com/courses/the-complete-data-science-bootcamp,19 months,35533,4.2,10271,2023-11-28,2025-07-06,Gregory Davis,False,True,True,4,62,"Mobile Development, Machine Learning",Artificial Intelligence
RES_0055,Digital Marketing Masterclass,FutureLearn,Digital Marketing,Intermediate,Interactive,Freemium,53.26,https://www.futurelearn.com/courses/digital-marketing-masterclass,8 weeks,1280,4.8,275,2023-05-30,2023-07-24,Andrew Lozano,True,False,False,7,83,"Machine Learning, Cybersecurity",Mobile Development
RES_0056,Project Management Professional Certificate,edX,Project Management,Advanced,Video Course,Freemium,84.45,https://www.edx.com/courses/project-management-professional-certificate,8 months,9748,3.2,2493,2023-05-23,2024-03-03,Kathryn Schmidt,False,False,True,7,95,"Machine Learning, Blockchain, Blockchain","Data Science, Data Science"
RES_0057,Cloud Computing Masterclass,FutureLearn,Cloud Computing,Intermediate,Video Course,Paid,58.63,https://www.futurelearn.com/courses/cloud-computing-masterclass,6 days,1334,3.4,379,2024-08-23,2024-10-04,Lisa Bradley,False,False,True,6,70,Project Management,Artificial Intelligence
RES_0058,UI/UX Design Masterclass,FreeCodeCamp,UI/UX Design,Advanced,Bootcamp,Free,0.0,https://www.freecodecamp.com/courses/ui/ux-design-masterclass,12 hours,5185,3.1,1532,2023-01-18,2024-05-16,Jennifer Jones,True,True,False,7,94,"Project Management, Game Development",
RES_0059,SQL Masterclass,Codecademy,SQL,Advanced,Bootcamp,Freemium,50.14,https://www.codecademy.com/courses/sql-masterclass,2 months,1795,3.7,337,2023-09-17,2025-05-27,Wayne Watkins,True,True,True,8,76,"UI/UX Design, Cybersecurity","Mobile Development, Data Analysis, Mobile Development, Web Development"
RES_0060,Machine Learning Masterclass,LinkedIn Learning,Machine Learning,All Levels,Text-based,Subscription,40.33,https://www.linkedinlearning.com/courses/machine-learning-masterclass,22 days,5561,3.8,1292,2025-03-07,2025-03-25,Angela Rios,False,True,False,4,40,"Game Development, Cybersecurity","Cloud Computing, Blockchain, Web Development"
RES_0061,Digital Marketing Masterclass,Udacity,Digital Marketing,Advanced,Video Course,Subscription,25.81,https://www.udacity.com/courses/digital-marketing-masterclass,7 weeks,8067,3.5,1625,2024-07-23,2025-04-28,Udacity,True,True,False,7,73,"Cloud Computing, Cybersecurity, Cloud Computing","JavaScript, JavaScript"
RES_0062,Project Management Masterclass,FutureLearn,Project Management,Beginner,Project-based,Subscription,38.67,https://www.futurelearn.com/courses/project-management-masterclass,8 months,4768,4.7,1273,2023-02-13,2024-12-25,Justin Jones,True,False,True,3,86,None,"UI/UX Design, Cybersecurity, Blockchain, Blockchain"
RES_0063,JavaScript Masterclass,Skillshare,JavaScript,Intermediate,Bootcamp,Paid,175.87,https://www.skillshare.com/courses/javascript-masterclass,2 months,6181,3.7,955,2025-01-22,2025-02-20,Skillshare,False,True,False,5,85,React,"Data Science, Python Programming, Digital Marketing, Data Analysis"
RES_0064,Blockchain Masterclass,Skillshare,Blockchain,Advanced,Interactive,Freemium,99.45,https://www.skillshare.com/courses/blockchain-masterclass,12 days,561,3.6,88,2023-11-07,2025-05-12,Skillshare,False,False,True,10,47,"Artificial Intelligence, Project Management, Python Programming",
RES_0065,SQL Masterclass,Pluralsight,SQL,Intermediate,Bootcamp,Freemium,11.12,https://www.pluralsight.com/courses/sql-masterclass,10 days,5034,4.1,1345,2024-12-14,2025-08-09,Joel Scott,False,True,True,7,32,"Blockchain, React, Cloud Computing","Digital Marketing, Python Programming, Data Science"
RES_0066,Learn Digital Marketing - Full Course,YouTube,Digital Marketing,Intermediate,Tutorial Series,Free,0.0,https://www.youtube.com/courses/learn-digital-marketing---full-course,17 weeks,5435,3.3,590,2022-09-08,2022-10-17,YouTube,True,True,False,7,77,"Python Programming, Data Science",
RES_0067,Learn Machine Learning - Full Course,YouTube,Machine Learning,Advanced,Interactive,Free,0.0,https://www.youtube.com/courses/learn-machine-learning---full-course,12 weeks,43126,4.6,4856,2024-08-27,2024-09-05,William Griffin,False,True,False,10,34,"SQL, Data Analysis",Mobile Development
RES_0068,Blockchain Masterclass,Pluralsight,Blockchain,All Levels,Bootcamp,Freemium,25.33,https://www.pluralsight.com/courses/blockchain-masterclass,25 days,4787,3.1,1330,2023-08-20,2025-07-04,Pluralsight,True,True,True,8,86,"Mobile Development, JavaScript","Artificial Intelligence, Data Science, DevOps"
RES_0069,The Complete Digital Marketing Bootcamp,Udemy,Digital Marketing,Beginner,Project-based,Paid,113.64,https://www.udemy.com/courses/the-complete-digital-marketing-bootcamp,11 hours,6247,5.0,1063,2023-10-19,2024-10-23,Ruben Brown,False,True,False,1,75,None,"DevOps, Data Analysis, Web Development, Cybersecurity"
RES_0070,Blockchain Masterclass,LinkedIn Learning,Blockchain,Intermediate,Video Course,Paid,171.25,https://www.linkedinlearning.com/courses/blockchain-masterclass,22 months,670,4.5,71,2024-12-05,2025-07-18,Cynthia Robinson,False,True,False,5,87,"Data Science, Project Management",Cloud Computing
RES_0071,Data Science Masterclass,Khan Academy,Data Science,All Levels,Text-based,Subscription,23.74,https://www.khanacademy.com/courses/data-science-masterclass,4 hours,3148,3.4,449,2022-11-02,2023-06-21,Khan Academy,True,False,False,7,66,"Artificial Intelligence, SQL, Machine Learning","Web Development, Project Management"
RES_0072,Project Management Professional Certificate,edX,Project Management,Beginner,Tutorial Series,Subscription,38.37,https://www.edx.com/courses/project-management-professional-certificate,23 hours,9111,3.0,2357,2024-01-04,2024-10-18,edX,False,False,False,2,45,None,"Cloud Computing, React"
RES_0073,Python Programming Masterclass,FreeCodeCamp,Python Programming,Advanced,Bootcamp,Subscription,31.36,https://www.freecodecamp.com/courses/python-programming-masterclass,18 days,1512,4.6,275,2025-04-08,2025-06-03,Melissa Oconnor,False,True,True,7,46,"Web Development, Project Management","Blockchain, Data Science, Cloud Computing, Game Development"
RES_0074,JavaScript Masterclass,Udacity,JavaScript,Intermediate,Project-based,Free,0.0,https://www.udacity.com/courses/javascript-masterclass,27 hours,8588,4.4,2474,2024-10-11,2025-03-19,James Johnson,True,False,True,6,40,"SQL, Game Development","Cloud Computing, UI/UX Design"
RES_0075,The Complete Blockchain Bootcamp,Udemy,Blockchain,Intermediate,Bootcamp,Paid,42.53,https://www.udemy.com/courses/the-complete-blockchain-bootcamp,20 weeks,37937,4.5,5393,2025-05-28,2025-08-18,Carrie Durham,False,False,True,7,33,"Game Development, UI/UX Design","Artificial Intelligence, React, Cybersecurity"
RES_0076,Project Management Masterclass,Pluralsight,Project Management,Beginner,Tutorial Series,Free,0.0,https://www.pluralsight.com/courses/project-management-masterclass,6 months,6909,4.5,1705,2022-12-03,2024-05-03,Jacqueline Simpson,False,True,False,3,81,None,"Data Science, Blockchain"
RES_0077,Machine Learning Masterclass,Khan Academy,Machine Learning,Advanced,Interactive,Freemium,12.25,https://www.khanacademy.com/courses/machine-learning-masterclass,15 days,2408,3.1,657,2025-02-03,2025-08-09,Stephen Cooper,True,True,True,8,71,"Mobile Development, SQL, JavaScript","Blockchain, Project Management, Artificial Intelligence, UI/UX Design"
RES_0078,Python Programming Masterclass,FreeCodeCamp,Python Programming,Beginner,Project-based,Freemium,96.67,https://www.freecodecamp.com/courses/python-programming-masterclass,7 weeks,897,3.7,185,2025-05-09,2025-07-16,Eric Jones,False,True,True,1,85,None,"DevOps, Data Science"
RES_0079,Data Science Masterclass,Skillshare,Data Science,Beginner,Project-based,Free,0.0,https://www.skillshare.com/courses/data-science-masterclass,19 days,6039,3.2,1356,2024-01-07,2025-06-07,John Campbell,True,True,False,1,46,None,Cybersecurity
RES_0080,Mobile Development Masterclass,LinkedIn Learning,Mobile Development,Advanced,Interactive,Paid,124.47,https://www.linkedinlearning.com/courses/mobile-development-masterclass,13 hours,842,4.7,234,2025-06-02,2025-08-04,LinkedIn Learning,False,True,True,8,71,"JavaScript, Cybersecurity","Blockchain, Blockchain"
RES_0081,Artificial Intelligence Masterclass,Khan Academy,Artificial Intelligence,Advanced,Project-based,Free,0.0,https://www.khanacademy.com/courses/artificial-intelligence-masterclass,12 weeks,1895,4.2,415,2023-04-20,2024-01-02,Lori Rodriguez,False,False,False,9,59,"Data Analysis, JavaScript","Cloud Computing, React, Machine Learning"
RES_0082,Learn Python Programming - Full Course,YouTube,Python Programming,All Levels,Text-based,Freemium,15.14,https://www.youtube.com/courses/learn-python-programming---full-course,23 days,27894,3.7,3946,2022-10-28,2022-12-30,YouTube,False,True,True,5,91,"Cybersecurity, Mobile Development, JavaScript","Game Development, Game Development, Data Science"
RES_0083,DevOps Masterclass,Udacity,DevOps,All Levels,Interactive,Paid,63.01,https://www.udacity.com/courses/devops-masterclass,10 days,4976,3.1,1427,2024-01-07,2025-01-21,Andrea Dixon,True,True,False,8,65,"Machine Learning, Game Development","Cybersecurity, Data Science, Cloud Computing, UI/UX Design"
RES_0084,UI/UX Design Specialization,Coursera,UI/UX Design,Beginner,Text-based,Freemium,65.6,https://www.coursera.com/courses/ui/ux-design-specialization,24 months,15023,3.6,3728,2024-07-03,2024-11-19,Marc Hampton,True,True,True,2,61,None,Blockchain
RES_0085,Learn React - Full Course,YouTube,React,Beginner,Video Course,Freemium,33.03,https://www.youtube.com/courses/learn-react---full-course,16 hours,45642,3.7,12603,2024-11-12,2025-08-19,YouTube,False,True,False,4,91,None,"UI/UX Design, Mobile Development"
RES_0086,Data Analysis Masterclass,Pluralsight,Data Analysis,Beginner,Tutorial Series,Paid,111.68,https://www.pluralsight.com/courses/data-analysis-masterclass,24 hours,2968,4.5,407,2023-04-18,2025-02-22,Pluralsight,True,False,False,3,34,None,UI/UX Design
RES_0087,Machine Learning Masterclass,Codecademy,Machine Learning,Advanced,Text-based,Freemium,98.91,https://www.codecademy.com/courses/machine-learning-masterclass,18 months,2298,4.3,527,2022-10-23,2023-01-06,Brandon Romero,False,True,False,8,31,"Mobile Development, UI/UX Design, SQL","Cybersecurity, Digital Marketing"
RES_0088,Mobile Development Masterclass,Khan Academy,Mobile Development,Beginner,Project-based,Free,0.0,https://www.khanacademy.com/courses/mobile-development-masterclass,6 days,7922,4.8,1314,2023-10-28,2024-12-10,Austin Owens,True,True,True,1,63,None,"React, Data Analysis, Machine Learning"
RES_0089,UI/UX Design Masterclass,FreeCodeCamp,UI/UX Design,Intermediate,Project-based,Subscription,39.16,https://www.freecodecamp.com/courses/ui/ux-design-masterclass,21 weeks,6121,3.9,1069,2024-05-25,2025-05-01,FreeCodeCamp,True,True,False,7,57,Web Development,"Blockchain, Data Science, Machine Learning"
RES_0090,Game Development Specialization,Coursera,Game Development,Intermediate,Bootcamp,Paid,41.26,https://www.coursera.com/courses/game-development-specialization,28 months,8617,3.2,1643,2024-06-26,2024-08-19,Caitlin Fritz,True,True,False,7,88,"Data Analysis, Project Management","Python Programming, Cybersecurity, DevOps"
RES_0091,SQL Specialization,Coursera,SQL,Beginner,Video Course,Freemium,34.45,https://www.coursera.com/courses/sql-specialization,3 hours,5523,4.4,1357,2022-12-28,2025-07-20,Susan Harrison,True,True,False,4,77,None,"Project Management, Cybersecurity, Cybersecurity, Web Development"
RES_0092,Game Development Masterclass,Udacity,Game Development,Intermediate,Tutorial Series,Subscription,19.15,https://www.udacity.com/courses/game-development-masterclass,18 months,8764,4.5,2136,2024-12-03,2025-04-29,Udacity,False,False,True,7,78,React,"Data Science, Cloud Computing, DevOps, SQL"
RES_0093,Machine Learning Masterclass,FutureLearn,Machine Learning,Beginner,Tutorial Series,Freemium,61.49,https://www.futurelearn.com/courses/machine-learning-masterclass,30 hours,4043,4.1,443,2024-06-24,2025-07-18,Catherine Graham,True,True,False,1,81,None,"React, Game Development, SQL, Data Analysis"
